anio,funcion,nombre,nombre_clean,primer_apellido,era
1538,Conquistador,Gonzalo Jiménez de Quesada,Gonzalo Jiménez de Quesada,Jiménez,Colonial temprana (1538-1699)
1539,Alcaldes,Don Jerónimo de Lainza,Jerónimo de Lainza,De Lainza,Colonial temprana (1538-1699)
1540,Alcalde,Capitán Antonio Díaz Cardozo,Antonio Díaz Cardozo,Díaz,Colonial temprana (1538-1699)
1541,Alcaldes,Don Juan Tafur,Juan Tafur,Tafur,Colonial temprana (1538-1699)
1542,Alcaldes,Don Hernán Vanegas,Hernán Vanegas,Vanegas,Colonial temprana (1538-1699)
1543,Alcaldes,Don Juan de Céspedes,Juan de Céspedes,De Céspedes,Colonial temprana (1538-1699)
1544,Alcaldes,Don Juan Ruiz de Orejuela,Juan Ruiz de Orejuela,Ruiz,Colonial temprana (1538-1699)
1545,Alcaldes,Don Juan Ruiz de Orejuela,Juan Ruiz de Orejuela,Ruiz,Colonial temprana (1538-1699)
1546,Alcaldes,Don Juan de Céspedes,Juan de Céspedes,De Céspedes,Colonial temprana (1538-1699)
1547,Alcaldes,Don Pedro de Colmenares,Pedro de Colmenares,De Colmenares,Colonial temprana (1538-1699)
1548,Alcaldes,Don Gonzalo García Zorro,Gonzalo García Zorro,García,Colonial temprana (1538-1699)
1549,Alcaldes,Don Juan Ruiz de Orejuela,Juan Ruiz de Orejuela,Ruiz,Colonial temprana (1538-1699)
1550,Alcaldes,Don Gonzalo García Zorro,Gonzalo García Zorro,García,Colonial temprana (1538-1699)
1551,Alcaldes,Don Juan Ruiz de Orejuela,Juan Ruiz de Orejuela,Ruiz,Colonial temprana (1538-1699)
1552,Alcaldes,Don Juan Tafur,Juan Tafur,Tafur,Colonial temprana (1538-1699)
1553,Alcaldes,Don Juan de Rivera,Juan de Rivera,De Rivera,Colonial temprana (1538-1699)
1554,Alcaldes,Don Juan Tafur,Juan Tafur,Tafur,Colonial temprana (1538-1699)
1555,Alcaldes,Don Andrés López de Galarza,Andrés López de Galarza,López,Colonial temprana (1538-1699)
1556,Alcaldes,Don Gonzalo García Zorro,Gonzalo García Zorro,García,Colonial temprana (1538-1699)
1557,Alcaldes,Don Juan de Ortega,Juan de Ortega,De Ortega,Colonial temprana (1538-1699)
1558,Alcaldes,Don Antón de Olaya,Antón de Olaya,De Olaya,Colonial temprana (1538-1699)
1559,Alcaldes,Don Juan Tafur,Juan Tafur,Tafur,Colonial temprana (1538-1699)
1560,Alcaldes,Don Juan Ruiz de Orejuela,Juan Ruiz de Orejuela,Ruiz,Colonial temprana (1538-1699)
1561,Alcaldes,Don Francisco de Figueredo,Francisco de Figueredo,De Figueredo,Colonial temprana (1538-1699)
1562,Alcaldes,Don Juan de Rivera,Juan de Rivera,De Rivera,Colonial temprana (1538-1699)
1563,Alcaldes,Don Alonso de Olaya,Alonso de Olaya,De Olaya,Colonial temprana (1538-1699)
1564,Alcaldes,Don Gonzalo García Zorro,Gonzalo García Zorro,García,Colonial temprana (1538-1699)
1565,Alcaldes,Don Juan Ruiz de Orejuela,Juan Ruiz de Orejuela,Ruiz,Colonial temprana (1538-1699)
1566,Alcaldes,Don Juan de Penagos,Juan de Penagos,De Penagos,Colonial temprana (1538-1699)
1567,Alcaldes,Don Antón de Olaya,Antón de Olaya,De Olaya,Colonial temprana (1538-1699)
