DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,RAMA4D_D_R4,RAMA2D_D_R4,DSI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7250,P7260,P7280,P7310,P7320,P7350,P7360,P9460,P7390,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7422,P7422S1,P1806,P1519,P1883,OFICIO1,OFICIO2,DSCY
5105382,1,3,1,05,1,7410,74,1,1164.5649217,05,2020,01,202001,70,24,48,1,2,104,1,9,2,2,,,1,,,,,,2,,1300000,2,,16,16,2
5105389,1,2,1,05,1,8220,82,1,1445.528866,05,2020,01,202001,70,4,48,1,2,4,1,9,2,1,,,,,,,,1,2,,800000,2,,59,38,1
5105400,1,3,1,05,1,4112,41,1,886.23582525,05,2020,01,202001,70,24,48,1,2,24,1,9,2,2,,,,,,,,1,2,,828116,2,,15,15,2
5105402,1,3,1,05,1,4724,47,1,946.91462122,05,2020,01,202001,70,4,48,1,2,4,1,4,2,2,,,,,,,,1,1,600000,1000000,2,,53,45,1
5105419,1,3,1,05,1,.,,1,826.68100808,05,2020,01,202001,70,36,48,1,1,,,,,,,,,,,,,,,,900000,,,39,,2
5105423,1,2,1,05,1,4792,47,1,929.69447901,05,2020,01,202001,70,52,48,1,2,16,4,1,2,1,,,,,,,,1,2,,828116,2,,45,45,2
5105426,1,3,1,05,1,4771,47,1,868.98916433,05,2020,01,202001,70,24,48,1,2,104,1,6,2,1,,,,,,,,1,2,,870000,2,,39,45,2
5105426,1,6,1,05,1,8230,82,1,868.98916433,05,2020,01,202001,70,8,48,1,2,52,1,6,2,1,,,,,,,,1,2,,828000,2,,97,39,1
5105432,1,3,1,05,1,1040,10,1,633.366087,05,2020,01,202001,70,3,65,1,2,4,1,9,2,9,1,,,,,,,,1,250000,828000,1,2,98,98,1
5105434,1,2,1,05,1,1410,14,1,1316.6565428,05,2020,01,202001,70,12,48,1,2,12,1,9,2,2,,,,,,,,1,2,,1100000,2,,38,33,1
5105444,1,1,1,08,1,6910,69,1,702.89013795,08,2020,01,202001,70,4,48,1,2,24,1,3,2,1,,,,,,,,1,2,,900000,2,,33,32,1
5105445,1,2,1,08,1,8551,85,1,980.8037306,08,2020,01,202001,70,4,48,1,2,4,1,9,2,7,,,,,,,,1,1,2000000,1500000,2,,13,13,1
5105460,1,1,1,13,1,4711,47,1,692.65496183,13,2020,01,202001,70,16,48,1,2,192,1,9,2,1,,,,,,,,1,2,,800000,2,,33,33,2
5105474,1,5,1,15,1,4921,49,1,171.80027442,15,2020,01,202001,70,2,48,1,2,2,1,9,2,3,,,,,,,,1,1,500000,828116,2,,98,98,1
5105478,1,2,1,15,1,4771,47,1,55.308268229,15,2020,01,202001,70,3,48,1,2,3,1,3,2,1,,,,,,,,1,1,500000,877800,2,,45,45,1
5105482,1,2,1,15,1,8544,85,1,107.70656484,15,2020,01,202001,70,50,40,1,2,50,4,9,2,4,,1,,,,,,,2,,2000000,1,1,19,19,2
5105484,1,3,1,15,1,9319,93,1,169.44707897,15,2020,01,202001,70,6,40,2,2,9,1,6,2,1,,,1,,,,,,2,,1600000,2,,18,18,1
5105489,1,2,1,15,1,6910,69,1,122.66664881,15,2020,01,202001,70,42,48,1,2,52,1,2,2,1,,,,,,,,1,2,,877800,2,,45,32,2
5105490,1,2,1,15,1,8412,84,1,92.568020855,15,2020,01,202001,70,16,48,2,2,16,4,9,2,6,,,,,,,,1,2,,1800000,2,,21,39,2
5105491,1,2,1,15,1,8691,86,1,122.66664881,15,2020,01,202001,70,52,40,1,2,52,5,2,2,1,,,,,,,,1,2,,1500000,2,,05,05,2
5105492,1,3,1,15,1,8530,85,1,153.23545752,15,2020,01,202001,70,4,48,2,2,4,1,9,2,8,,,,,,,,1,1,1000000,2000000,2,,13,13,1
5105495,1,1,1,15,1,6201,62,1,112.45451864,15,2020,01,202001,70,28,48,1,2,72,4,7,2,2,,,1,,,,,,2,,1400000,2,,16,16,2
5105502,1,1,1,15,1,8412,84,1,138.46510156,15,2020,01,202001,70,1,40,2,2,1,4,9,2,1,,1,1,,,,,,1,3123000,2500000,1,2,12,12,1
5105502,1,5,1,15,1,8544,85,1,138.46510156,15,2020,01,202001,70,1,48,2,2,1,2,9,2,1,1,,,,,,,,1,2500000,5000000,1,1,19,13,1
5105518,1,1,1,15,1,8544,85,1,109.60144264,15,2020,01,202001,70,8,40,1,2,25,1,8,2,3,,,,,,,,1,2,,4000000,2,,12,13,1
5105519,1,1,1,15,1,5630,56,1,128.18704099,15,2020,01,202001,70,12,70,4,2,12,4,2,2,3,,,,,,,,1,2,,2000000,2,,51,50,1
5105554,1,1,1,15,1,8412,84,1,128.18704099,15,2020,01,202001,70,12,40,2,2,4,4,9,2,3,,,1,,,,,,1,1200000,3300000,2,,02,02,1
5105557,1,2,1,17,1,8512,85,1,208.47941382,17,2020,01,202001,70,9,40,1,2,4,2,6,2,3,,,,,,,,1,2,,1500000,1,1,13,13,1
5105559,1,3,1,17,1,8220,82,1,218.69572851,17,2020,01,202001,70,8,48,1,2,48,1,7,2,1,,,,,,,,1,2,,828116,2,,53,38,1
5105567,1,1,1,17,1,2593,25,1,251.95187149,17,2020,01,202001,70,2,48,1,2,2,1,9,2,1,1,,,,,,,,1,3000000,3500000,1,1,30,70,1
5105569,1,2,1,17,1,.,,1,199.51815142,17,2020,01,202001,70,1,48,1,1,,,,,,,,,,,,,,,,828116,,,97,,1
5105569,1,4,1,17,1,.,,1,199.51815142,17,2020,01,202001,70,1,48,1,1,,,,,,,,,,,,,,,,828116,,,45,,1
5105589,1,1,1,17,1,5611,56,1,166.51487492,17,2020,01,202001,70,8,48,1,2,8,1,4,2,2,,,,,,,,1,2,,500000,2,,53,53,1
5105591,1,2,1,17,1,5611,56,1,202.46317115,17,2020,01,202001,70,24,60,1,2,52,1,5,2,2,,,,,,,,1,2,,700000,2,,53,53,2
5105598,1,3,1,17,1,1410,14,1,203.63169565,17,2020,01,202001,70,2,48,1,2,3,1,9,2,8,,,,,,,,1,1,490000,828116,2,,95,95,1
5105605,1,1,1,17,1,2816,28,1,217.06491091,17,2020,01,202001,70,48,48,1,2,48,1,5,2,1,,,,,,,,1,2,,1800000,2,,02,02,2
5105611,1,4,1,17,1,7490,74,1,243.64250152,17,2020,01,202001,70,2,48,4,2,4,4,7,2,1,1,,,,,,,,1,3000000,2000000,1,1,05,05,1
5105614,1,4,1,17,1,4721,47,1,162.90011511,17,2020,01,202001,70,32,48,1,2,32,4,1,2,1,,,,,,,,1,2,,828116,2,,53,41,2
5105621,1,3,1,17,1,3290,32,1,160.60474548,17,2020,01,202001,70,1,48,1,2,2,1,6,2,4,,,,,,,,1,1,828116,828116,2,,45,97,1
5105627,1,1,1,18,1,4111,41,1,98.980930419,18,2020,01,202001,70,4,54,1,2,4,1,2,2,1,,,,,,1,,,2,,600000,2,,95,59,1
5105628,1,2,1,18,1,4921,49,1,113.20973698,18,2020,01,202001,70,24,48,1,2,24,4,1,2,1,,,,,,,,1,2,,890000,2,,37,98,2
5105628,1,3,1,18,1,4631,46,1,113.20973698,18,2020,01,202001,70,3,48,1,2,3,1,4,2,1,,,,,,,,1,2,,850000,2,,97,97,1
5105632,1,2,1,19,1,8413,84,1,92.877335074,19,2020,01,202001,70,2,40,1,2,3,1,9,2,7,,,,,,1,,,2,,1500000,2,,08,08,1
5105633,1,3,1,19,1,8544,85,1,87.860725227,19,2020,01,202001,70,4,45,1,2,4,1,9,2,1,,,,,,,,1,2,,1800000,2,,13,13,1
5105634,1,3,1,19,1,8890,88,1,126.27216588,19,2020,01,202001,70,16,45,1,2,50,1,6,2,1,,,,,,,,1,2,,1500000,2,,11,32,2
5105636,1,2,1,19,1,4741,47,1,123.14921683,19,2020,01,202001,70,24,48,1,2,24,1,4,2,7,,,,,,,,1,2,,1000000,2,,15,15,2
5105641,1,1,1,19,1,6412,64,1,145.34035015,19,2020,01,202001,70,24,40,1,2,48,1,9,2,1,,,,,,,,1,2,,800000,2,,33,33,2
5105642,1,3,1,19,1,4711,47,1,114.62278247,19,2020,01,202001,70,48,48,1,2,48,1,9,2,1,,,,,,,,1,2,,900000,2,,45,97,2
5105647,1,2,1,19,1,.,,1,151.56097407,19,2020,01,202001,70,8,40,1,1,,,,,,,,,,,,,,,,1200000,,,03,,1
5105652,1,3,1,19,1,8530,85,1,95.909770362,19,2020,01,202001,70,24,48,1,2,24,1,4,2,1,,,,,,,,1,2,,98,2,,13,13,2
5105652,1,5,1,19,1,.,,1,95.909770362,19,2020,01,202001,70,20,48,1,1,,,,,,,,,,,,,,,,98,,,33,,2
5105656,1,3,1,19,1,.,,1,147.11919282,19,2020,01,202001,70,4,48,1,1,,,,,,,,,,,,,,,,1000000,,,13,,1
5105659,1,2,1,19,1,5611,56,1,114.51271267,19,2020,01,202001,70,16,45,1,2,16,1,3,2,1,,,1,,,,,,2,,828116,2,,53,53,2
5105660,1,1,1,19,1,8530,85,1,167.85172499,19,2020,01,202001,70,24,48,1,2,24,1,6,2,4,,,,,,,,1,2,,900000,2,,13,13,2
