DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,FT
5105378,1,1,1,05,1,889.28414475,05,2020,01,202001,50,,1,4,2,2,2,2,2,,,,,,,1
5105378,1,2,1,05,1,889.28414475,05,2020,01,202001,50,,2,1,,,,,,,,,,,,1
5105379,1,1,1,05,1,1375.483677,05,2020,01,202001,50,,1,6,2,2,2,2,2,,,,,,,1
5105379,1,2,1,05,1,1375.483677,05,2020,01,202001,50,,2,6,2,2,2,2,2,,,,,,,1
5105379,1,3,1,05,1,1375.483677,05,2020,01,202001,50,,3,6,2,2,2,2,1,13,,,,,,1
5105380,1,1,1,05,1,1459.0538525,05,2020,01,202001,50,,1,6,2,1,,,,,,,,,,1
5105381,1,1,1,05,1,1291.6149595,05,2020,01,202001,50,,1,6,2,2,2,2,2,,,,,,,1
5105381,1,2,1,05,1,1291.6149595,05,2020,01,202001,50,,2,4,2,2,2,2,1,10,,,,,,1
5105382,1,1,1,05,1,1164.5649217,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105382,1,2,1,05,1,1164.5649217,05,2020,01,202001,50,,2,4,2,2,2,2,2,,,,,,,1
5105382,1,3,1,05,1,1164.5649217,05,2020,01,202001,50,2,3,2,2,2,2,1,,,,,,,1,1
5105383,1,1,1,05,1,1508.1320027,05,2020,01,202001,50,,1,6,1,,,,,,,,,,,1
5105384,1,1,1,05,1,1203.1939943,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105384,1,2,1,05,1,1203.1939943,05,2020,01,202001,50,,2,4,2,2,2,2,2,,,,,,,1
5105384,1,3,1,05,1,1203.1939943,05,2020,01,202001,50,,2,6,2,2,2,2,2,,,,,,,1
5105385,1,1,1,05,1,1189.6699055,05,2020,01,202001,50,,1,6,2,1,,,,,,,,,,1
5105385,1,2,1,05,1,1189.6699055,05,2020,01,202001,50,,2,1,,,,,,,,,,,,1
5105386,1,1,1,05,1,1459.0538525,05,2020,01,202001,50,,1,6,2,1,,,,,,,,,,1
5105387,1,1,1,05,1,1672.9377879,05,2020,01,202001,50,,1,6,2,1,,,,,,,,,,1
5105387,1,2,1,05,1,1672.9377879,05,2020,01,202001,50,,2,4,2,2,2,2,1,10,,,,,,1
5105388,1,1,1,05,1,871.20780832,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105388,1,2,1,05,1,871.20780832,05,2020,01,202001,50,,2,1,,,,,,,,,,,,1
5105388,1,3,1,05,1,871.20780832,05,2020,01,202001,50,,3,1,,,,,,,,,,,,1
5105389,1,1,1,05,1,1445.528866,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105389,1,2,1,05,1,1445.528866,05,2020,01,202001,50,3,2,4,2,2,2,1,,,,,,,1,1
5105390,1,1,1,05,1,1291.6149595,05,2020,01,202001,50,,1,6,2,2,2,2,2,,,,,,,1
5105390,1,2,1,05,1,1291.6149595,05,2020,01,202001,50,,2,4,2,2,2,2,2,,,,,,,1
5105391,1,1,1,05,1,844.26336331,05,2020,01,202001,50,,1,6,2,2,2,2,2,,,,,,,1
5105391,1,2,1,05,1,844.26336331,05,2020,01,202001,50,,2,4,2,2,2,2,2,,,,,,,1
5105391,1,3,1,05,1,844.26336331,05,2020,01,202001,50,,3,1,,,,,,,,,,,,1
5105391,1,4,1,05,1,844.26336331,05,2020,01,202001,50,,3,1,,,,,,,,,,,,1
5105392,1,1,1,05,1,1772.9637021,05,2020,01,202001,50,,1,6,2,1,,,,,,,,,,1
5105392,1,2,1,05,1,1772.9637021,05,2020,01,202001,50,,2,6,2,2,2,2,1,10,,,,,,1
5105393,1,1,1,05,1,579.63719234,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105393,1,2,1,05,1,579.63719234,05,2020,01,202001,50,,2,1,,,,,,,,,,,,1
5105393,1,3,1,05,1,579.63719234,05,2020,01,202001,50,,3,2,1,,,,,,,,,,,1
5105393,1,4,1,05,1,579.63719234,05,2020,01,202001,50,,4,1,,,,,,,,,,,,1
5105395,1,1,1,05,1,1383.0063056,05,2020,01,202001,50,,1,4,2,2,2,2,2,,,,,,,1
5105396,1,1,1,05,1,1128.9911095,05,2020,01,202001,50,,1,6,2,2,2,2,2,,,,,,,1
5105396,1,2,1,05,1,1128.9911095,05,2020,01,202001,50,,2,4,2,2,2,2,2,,,,,,,1
5105398,1,1,1,05,1,935.63753371,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105398,1,2,1,05,1,935.63753371,05,2020,01,202001,50,,2,6,2,2,2,2,1,2,1,2,,,,1
5105398,1,3,1,05,1,935.63753371,05,2020,01,202001,50,,3,6,1,,,,,,,,,,,1
5105398,1,4,1,05,1,935.63753371,05,2020,01,202001,50,,4,1,,,,,,,,,,,,1
5105399,1,1,1,05,1,1367.6625064,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105399,1,2,1,05,1,1367.6625064,05,2020,01,202001,50,,2,4,2,2,2,2,2,,,,,,,1
5105400,1,1,1,05,1,886.23582525,05,2020,01,202001,50,,1,4,2,2,2,2,2,,,,,,,1
5105400,1,2,1,05,1,886.23582525,05,2020,01,202001,50,,2,4,2,2,2,2,2,,,,,,,1
5105400,1,3,1,05,1,886.23582525,05,2020,01,202001,50,2,3,3,2,2,2,1,,,,,,,1,1
5105401,1,1,1,05,1,1732.4951683,05,2020,01,202001,50,,1,4,2,2,2,2,2,,,,,,,1
5105401,1,2,1,05,1,1732.4951683,05,2020,01,202001,50,,2,1,,,,,,,,,,,,1
5105402,1,1,1,05,1,946.91462122,05,2020,01,202001,50,,3,6,1,,,,,,,,,,,1
5105402,1,2,1,05,1,946.91462122,05,2020,01,202001,50,,3,6,2,1,,,,,,,,,,1
5105402,1,3,1,05,1,946.91462122,05,2020,01,202001,50,2,3,3,2,2,2,1,,,,,,,1,1
5105403,1,1,1,05,1,1594.6468168,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105403,1,2,1,05,1,1594.6468168,05,2020,01,202001,50,,1,6,2,2,2,2,1,10,,,,,,1
5105403,1,3,1,05,1,1594.6468168,05,2020,01,202001,50,,3,6,2,1,,,,,,,,,,1
5105403,1,8,1,05,1,1594.6468168,05,2020,01,202001,50,,8,1,,,,,,,,,,,,1
5105404,1,1,1,05,1,1005.8002255,05,2020,01,202001,50,,1,6,2,1,,,,,,,,,,1
5105404,1,2,1,05,1,1005.8002255,05,2020,01,202001,50,,2,6,2,1,,,,,,,,,,1
5105405,1,1,1,05,1,1113.6473103,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105405,1,2,1,05,1,1113.6473103,05,2020,01,202001,50,,2,4,2,2,2,2,2,,,,,,,1
5105405,1,4,1,05,1,1113.6473103,05,2020,01,202001,50,,2,5,,,,,,,,,,,,1
5105406,1,1,1,05,1,980.67549089,05,2020,01,202001,50,,1,1,,,,,,,,,,,,1
5105407,1,1,1,05,1,759.22770894,05,2020,01,202001,50,,1,6,2,1,,,,,,,,,,1
5105407,1,2,1,05,1,759.22770894,05,2020,01,202001,50,,2,1,,,,,,,,,,,,1
5105407,1,3,1,05,1,759.22770894,05,2020,01,202001,50,,3,1,,,,,,,,,,,,1
5105409,1,1,1,05,1,1402.4109463,05,2020,01,202001,50,,1,4,2,2,2,2,2,,,,,,,1
