DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,INI,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P7430,P7440,P7450,P7452,P7454,P7456,P7458,P7460,P7470,P7472,P7472S1,P744,P1884,P1807,P6921
5105378,1,1,1,05,1,1,889.28414475,05,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5105379,1,1,1,05,1,1,1375.483677,05,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5105379,1,2,1,05,1,1,1375.483677,05,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5105379,1,3,1,05,1,1,1375.483677,05,2020,01,202001,80,1,1,1,2,,,12,1,,1,828000,1,60,828000,2
5105381,1,1,1,05,1,1,1291.6149595,05,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5105381,1,2,1,05,1,1,1291.6149595,05,2020,01,202001,80,1,1,3,2,,,9,2,,2,,2,,828116,2
5105382,1,2,1,05,1,1,1164.5649217,05,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5105384,1,2,1,05,1,1,1203.1939943,05,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5105384,1,3,1,05,1,1,1203.1939943,05,2020,01,202001,80,1,2,9,2,,,12,2,,2,,,,,2
5105387,1,2,1,05,1,1,1672.9377879,05,2020,01,202001,80,1,4,4,1,,1,9,1,,2,,2,,828116,2
5105390,1,1,1,05,1,1,1291.6149595,05,2020,01,202001,80,1,4,5,2,,,11,3,,2,,,,,3
5105390,1,2,1,05,1,1,1291.6149595,05,2020,01,202001,80,1,4,3,2,,,11,2,,2,,,,,2
5105391,1,1,1,05,1,1,844.26336331,05,2020,01,202001,80,1,4,5,2,,,11,3,,2,,,,,3
5105391,1,2,1,05,1,1,844.26336331,05,2020,01,202001,80,1,4,5,2,,,9,3,,2,,,,,3
5105392,1,2,1,05,1,1,1772.9637021,05,2020,01,202001,80,1,1,3,2,,,9,1,2,2,,1,48,828116,1
5105395,1,1,1,05,1,1,1383.0063056,05,2020,01,202001,80,1,4,5,2,,,10,3,,2,,,,,3
5105396,1,1,1,05,1,1,1128.9911095,05,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5105396,1,2,1,05,1,1,1128.9911095,05,2020,01,202001,80,1,2,5,2,,,11,3,,2,,,,,3
5105398,1,2,1,05,1,1,935.63753371,05,2020,01,202001,80,1,1,8,2,,,1,1,,1,800000,1,48,1000000,2
5105399,1,2,1,05,1,1,1367.6625064,05,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5105400,1,1,1,05,1,1,886.23582525,05,2020,01,202001,80,1,4,5,2,,,11,3,,2,,,,,3
5105400,1,2,1,05,1,1,886.23582525,05,2020,01,202001,80,1,4,5,2,,,11,3,,2,,,,,3
5105401,1,1,1,05,1,1,1732.4951683,05,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5105403,1,2,1,05,1,1,1594.6468168,05,2020,01,202001,80,1,3,5,2,,,9,3,,2,,1,48,1100000,3
5105405,1,2,1,05,1,1,1113.6473103,05,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5105405,1,4,1,05,1,1,1113.6473103,05,2020,01,202001,80,2,,,,2,,,3,,2,,,,,3
5105409,1,1,1,05,1,1,1402.4109463,05,2020,01,202001,80,1,4,1,2,,,1,2,,2,,,,,2
5105410,1,2,1,05,1,1,1671.7948933,05,2020,01,202001,80,1,1,8,2,,,12,1,2,1,700000,1,48,1400000,1
5105413,1,2,1,05,1,1,1531.3004453,05,2020,01,202001,80,1,1,8,2,,,2,2,,1,800000,,,,2
5105415,1,1,1,05,1,1,1162.7254605,05,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5105415,1,2,1,05,1,1,1162.7254605,05,2020,01,202001,80,1,4,9,2,,,8,2,,2,,,,,2
5105416,1,1,1,05,1,1,1162.7254605,05,2020,01,202001,80,1,4,5,2,,,11,3,,2,,,,,3
5105416,1,2,1,05,1,1,1162.7254605,05,2020,01,202001,80,1,2,6,2,,,11,3,,2,,,,,3
5105417,1,1,1,05,1,1,590.24816725,05,2020,01,202001,80,1,1,8,2,,,1,2,,1,828116,1,48,828116,2
5105417,1,3,1,05,1,1,590.24816725,05,2020,01,202001,80,1,1,8,2,,,12,2,,1,828116,1,48,828116,2
5105417,1,4,1,05,1,1,590.24816725,05,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5105418,1,1,1,05,1,1,973.15286229,05,2020,01,202001,80,2,,,,2,,,2,,2,,,,,2
5105418,1,2,1,05,1,1,973.15286229,05,2020,01,202001,80,1,4,4,2,,,4,3,,2,,,,,3
5105419,1,2,1,05,1,1,826.68100808,05,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
5105421,1,3,1,05,1,1,857.42613677,05,2020,01,202001,80,1,1,8,2,,,12,2,,1,300000,1,48,828000,2
5105424,1,1,1,05,1,1,1162.7254605,05,2020,01,202001,80,1,4,4,2,,,4,2,,2,,,,,2
5105424,1,2,1,05,1,1,1162.7254605,05,2020,01,202001,80,1,4,9,2,,,8,2,,2,,,,,2
5105426,1,1,1,05,1,1,868.98916433,05,2020,01,202001,80,1,1,8,2,,,12,1,,1,828000,,,920000,2
5105426,1,2,1,05,1,1,868.98916433,05,2020,01,202001,80,1,4,3,2,,,9,2,,2,,,,,2
